timestamp,GMXXX_NO2 (ppm),GMXXX_Ethanol (ppm),GMXXX_VOC (ppm),GMXXX_CO (ppm),MiCS5524_CO (ppm),MiCS5524_Ethanol (ppm),MiCS5524_VOC (ppm),label
1765203873468,0.821000,0.610000,0.204000,0.153000,9.937000,9.918000,3.390000,level_1_state_1
1765203873923,0.821000,0.610000,0.205000,0.154000,9.817000,9.761000,3.344000,level_1_state_1
1765203874278,0.821000,0.610000,0.205000,0.155000,9.457000,9.296000,3.205000,level_1_state_1
1765203874379,0.821000,0.609000,0.205000,0.154000,9.696000,9.605000,3.297000,level_1_state_1
1765203874886,0.820000,0.610000,0.205000,0.155000,9.457000,9.296000,3.205000,level_1_state_1
1765203874987,0.820000,0.609000,0.205000,0.154000,9.576000,9.450000,3.251000,level_1_state_1
1765203876051,0.820000,0.609000,0.205000,0.155000,9.817000,9.761000,3.344000,level_1_state_1
1765203877163,0.820000,0.609000,0.205000,0.155000,9.457000,9.296000,3.205000,level_1_state_1
1765203877366,0.819000,0.609000,0.205000,0.154000,9.696000,9.605000,3.297000,level_1_state_1
1765203878278,0.820000,0.609000,0.204000,0.153000,9.338000,9.144000,3.160000,level_1_state_1
1765203878989,0.819000,0.609000,0.204000,0.153000,9.576000,9.450000,3.251000,level_1_state_1
1765203879091,0.819000,0.609000,0.204000,0.153000,9.576000,9.450000,3.251000,level_1_state_1
1765203879700,0.820000,0.609000,0.204000,0.152000,9.338000,9.144000,3.160000,level_1_state_1
1765203880306,0.819000,0.608000,0.204000,0.153000,9.338000,9.144000,3.160000,level_1_state_1
1765203880915,0.820000,0.607000,0.203000,0.152000,9.457000,9.296000,3.205000,level_1_state_1
1765203881319,0.819000,0.607000,0.203000,0.152000,9.576000,9.450000,3.251000,level_1_state_1
1765203882331,0.819000,0.608000,0.202000,0.151000,9.220000,8.992000,3.114000,level_1_state_1
1765203882889,0.818000,0.608000,0.202000,0.150000,9.338000,9.144000,3.160000,level_1_state_1
1765203883396,0.818000,0.607000,0.202000,0.150000,8.985000,8.693000,3.024000,level_1_state_1
1765203883498,0.818000,0.607000,0.201000,0.150000,9.102000,8.842000,3.069000,level_1_state_1
1765203884104,0.818000,0.607000,0.201000,0.150000,9.220000,8.992000,3.114000,level_1_state_1
1765203884610,0.818000,0.608000,0.200000,0.148000,9.102000,8.842000,3.069000,level_1_state_1
1765203884711,0.818000,0.608000,0.200000,0.149000,9.102000,8.842000,3.069000,level_1_state_1
1765203885316,0.818000,0.608000,0.200000,0.149000,9.102000,8.842000,3.069000,level_1_state_1
1765203885823,0.818000,0.608000,0.199000,0.148000,9.220000,8.992000,3.114000,level_1_state_1
1765203886176,0.817000,0.607000,0.198000,0.148000,9.220000,8.992000,3.114000,level_1_state_1
1765203886784,0.818000,0.607000,0.199000,0.148000,9.102000,8.842000,3.069000,level_1_state_1
